         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      269    0.001    0.000    0.033    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:46(find)
      513    0.001    0.000    0.033    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/targetconfig.py:196(values)
      366    0.001    0.000    0.033    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/errors.py:310(errmsg)
     1684    0.032    0.000    0.032    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/utils.py:373(__setitem__)
      513    0.003    0.000    0.032    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/targetconfig.py:199(<dictcomp>)
14231/14039    0.003    0.000    0.031    0.000 {built-in method builtins.hasattr}
  112/110    0.000    0.000    0.031    0.000 /usr/lib/python3.8/importlib/__init__.py:109(import_module)
        4    0.000    0.000    0.031    0.008 /home/seb/.local/lib/python3.8/site-packages/numba/core/ssa.py:26(reconstruct_ssa)
        4    0.000    0.000    0.031    0.008 /home/seb/.local/lib/python3.8/site-packages/numba/core/ssa.py:47(_run_ssa)
  105/103    0.000    0.000    0.031    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/typed/__init__.py:10(__getattr__)
        2    0.000    0.000    0.031    0.015 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:296(create_cfunc_wrapper)
        2    0.000    0.000    0.031    0.015 /home/seb/.local/lib/python3.8/site-packages/numba/core/cpu.py:186(create_cfunc_wrapper)
  112/110    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
       91    0.001    0.000    0.031    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:53(_find)
2072/1864    0.002    0.000    0.030    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
      184    0.000    0.000    0.030    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/entrypoints.py:10(init_all)
